"Naziv isplatitelja";"Datum";"Primatelj";"OIB";"Mjesto";"Proračunski korisnik";"Valuta";"Iznos na poziciji";"Pozicija";"Organizacijska klasifikacija";"Programska klasifikacija";"Izvor financiranja";"Ekonomska klasifikacija";"Funkcijska klasifikacija";"Broj računa";"Opis";"Datum računa";"Datum dospijeća";"IBAN";"Poziv na broj"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"VODOVOD PULA-LABIN d.o.o-PodružnicaLABIN";"19798348108";"LABIN";;"EUR";"6.69";"R0012 Komunalne usluge";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323410 Opskrba vodom";"0133 Ostale opće usluge";"55115498";"VODA ZA 11/25 - MO RABAC 25/0004229";"2025-11-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR5524020061500147397";"HR01 55115498-80004-81"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"POREZ I PRIREZ ND - PIĆAN";"19041331726";"LABIN";"GRADSKA KNJIŽNICA LABIN";"EUR";"23.51";"R1099 Intelektualne i osobne usluge";"500       04        42266 GRADSKA KNJIŽNICA LABIN";"L01 5004A500014 Književni susreti i radionice";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"323710 Autorski honorari";"0820 Službe kulture";"25/00329";"GK - UG. O AUTORSKOM HONORARU - POREZ PIĆAN";"2025-12-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR0710010051733012005";"HR68 1945-68585857405-25365"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"8400 - DOPRINOS ZA ZDRAVSTVENO OSIG.";"GDPR";"";"GRADSKA KNJIŽNICA LABIN";"EUR";"9.79";"R1099 Intelektualne i osobne usluge";"500       04        42266 GRADSKA KNJIŽNICA LABIN";"L01 5004A500014 Književni susreti i radionice";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"323710 Autorski honorari";"0820 Službe kulture";"25/00328";"GK - UG. O AUTORSKOM HONORARU - ZDRAVSTVO";"2025-12-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"8109 - DOPRINOS ZA MIO I STUP";"GDPR";"";"GRADSKA KNJIŽNICA LABIN";"EUR";"9.79";"R1099 Intelektualne i osobne usluge";"500       04        42266 GRADSKA KNJIŽNICA LABIN";"L01 5004A500014 Književni susreti i radionice";"5.9.000001 5. POMOĆI - PRIHODI KORISNIKA GL 02";"323710 Autorski honorari";"0820 Službe kulture";"25/00327";"GK - UG. O AUTORSKOM HONORARU - MIO I";"2025-12-30T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"MONTONE & CO";"72911149157";"PULA";;"EUR";"2143.75";"R0267-6 Uređaji, strojevi i oprema za ostale namjene";"300       01 UPRAVNI ODJEL ZA PROSTORNO UREĐENJE, ZAŠTITU OKOLIŠA I IZDAVANJA AKATA ZA GRADNJU";"L01 3003K300015 Dječji vrtić Vinež (novi)";"8.1.001    8.NAMJENSKI PRIMICI OD ZADUŽIVANJA";"422730 Oprema";"0911 Predškolsko obrazovanje";"42-1-1";"OPREMA ZA POTREBEFORMIRANJA VRTIĆKE SKUPINE DVVINEŽ - ID 2 25/0004659";"2025-11-28T00:00:00.000Z";"2025-12-15T00:00:00.000Z";"HR1624840081102797911";"HR00 42-1-1"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"MONTONE & CO";"72911149157";"PULA";;"EUR";"4387.50";"R0266-02 Sitni inventar";"300       01 UPRAVNI ODJEL ZA PROSTORNO UREĐENJE, ZAŠTITU OKOLIŠA I IZDAVANJA AKATA ZA GRADNJU";"L01 3003K300015 Dječji vrtić Vinež (novi)";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"322510 Sitni inventar";"0911 Predškolsko obrazovanje";"42-1-1";"OPREMA ZA POTREBEFORMIRANJA VRTIĆKE SKUPINE DVVINEŽ - ID 2 25/0004659";"2025-11-28T00:00:00.000Z";"2025-12-15T00:00:00.000Z";"HR1624840081102797911";"HR00 42-1-1"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"LABIN 2000 D.O.O.";"93779491456";"LABIN";;"EUR";"5171.46";"R0366-15 Usluge održavanja sportske dvorane";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4002A400009 Održavanje sportske dvorane";"4.6.001    4. KOMUNALNA NAKNADA";"323290 Ostale usluge tekućeg i investicijskog održavanja";"0810 Službe rekreacije i sporta";"304/1/1";"MAT. TROŠKOVI IODRŽAVANJE DVORANE 11/2025 - ID2695 25/0004603";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR2023400091110367599";"HR00 27-304-10"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"ZAKLADA ZA POTICANJE PART.I RAZ.CIVILNOG";"59964009678";"PULA";;"EUR";"4000.00";"R0527-1 Tekuće donacije u novcu-FOND";"500       01 UPRAVNI ODJEL ZA DRUŠTVENE DJELATNOSTI";"L01 5009A500001 Financiranje udruga građana";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"381190 Ostale tekuće donacije";"0840 Religijske i druge službe zajednice";"18-12-2025";"SUF. ZAKL. ZAPOTICANJE PAR. I RAZ. CIV. DR.25/0004505";"2025-12-18T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR4724020061101137847";"HR00 18-12-2025"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"LABIN 2000 D.O.O.";"93779491456";"LABIN";;"EUR";"3556.21";"R0366-8 Usluge održavanja sportskih objekata";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4002A400008 Održavanje igrališta";"4.6.001    4. KOMUNALNA NAKNADA";"323290 Ostale usluge tekućeg i investicijskog održavanja";"0810 Službe rekreacije i sporta";"305/1/1";"MAT. TROŠKOVI I ODRŽA.SPORT. OBJEKATA GRADSKI STADION11/20 25/0004602";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR2023400091110367599";"HR00 27-305-10"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"SONO LUX D.O.O.";"90710320846";"PULA";;"EUR";"3287.19";"R0020-1 Zakupnine i najamnine";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100002 Redovna djelatnost  ureda gradonačelnika";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323530 Zakupnine i najamnine za opremu";"0133 Ostale opće usluge";"133-1-1";"PRODUKCIJA I ZVUK ZASVEČANU SJED. GV 14.8.2025. -ID 2714 25/0004612";"2025-12-19T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR2323600001102254121";"HR00 4-133-2025"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"1.MAJ LABIN D.O.O. LABIN";"23557321379";"LABIN";;"EUR";"2736.88";"R0350-11 Zimska služba i popravci oštećenja prometnica uslijed vremenskih neprilika";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400012 Održavanje nerazvrstanih cesta";"4.6.001    4. KOMUNALNA NAKNADA";"323290 Ostale usluge tekućeg i investicijskog održavanja";"0451 Cestovni promet";"28204625/K01/105RAF";"ZIMSKA SLUŽBAODRŽAVANJE CESTA 11/2025 - ID2666 25/0004518";"2025-12-18T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR3224020061100387143";"HR01 2046-01294612"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"G 1 d.o.o.";"72044305496";"LABIN";;"EUR";"2300.00";"R0258-34 Projektna dokumentacija";"300       01 UPRAVNI ODJEL ZA PROSTORNO UREĐENJE, ZAŠTITU OKOLIŠA I IZDAVANJA AKATA ZA GRADNJU";"L01 3002K300055 Uređenje priobalnog dijela Centralne zone naselja Rabac";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"426410 Ostala nematerijalna proizvedena imovina";"0620 Razvoj zajednice";"223-1-1";"IZRADA GSN RABAC RIVA3D - ID 2642 25/0004511";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR0823400091110242976";"HR00 2025-221"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"SIGURNOST D.O.O.";"63041633582";"LABIN";;"EUR";"536.92";"R0017 Usluga čišćenja i čuvanja imovine";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323961 Usluge čuvanja imovine i osoba-pretpriznati porez";"0133 Ostale opće usluge";"5189/1/10";"TJELESNA ZAŠTITAOBJEKTA ZA 11/2025 - ID 242525/0004510";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR3823800061147002267";"HR00 1200087-005189"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"SIGURNOST D.O.O.";"63041633582";"LABIN";;"EUR";"1507.91";"R0017 Usluga čišćenja i čuvanja imovine";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323960 Usluge čuvanja imovine i osoba";"0133 Ostale opće usluge";"5189/1/10";"TJELESNA ZAŠTITAOBJEKTA ZA 11/2025 - ID 242525/0004510";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR3823800061147002267";"HR00 1200087-005189"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"INŽENJERING GEOF d.o.o.";"22693341126";"LABIN";;"EUR";"1500.00";"R0242-1 Izrada projektne dokumentacije sa potr.geod.podl.";"300       01 UPRAVNI ODJEL ZA PROSTORNO UREĐENJE, ZAŠTITU OKOLIŠA I IZDAVANJA AKATA ZA GRADNJU";"L01 3002K300006 Projekti cesta i ostale infrastrukture u zonama izgradnje";"4.5.001    4. KOMUNALNI DOPRINOS I DRUGE NAKNADE";"426410 Ostala nematerijalna proizvedena imovina";"0451 Cestovni promet";"220-1-1";"GEODETSKE USLUGE - ID2683 25/0004487";"2025-12-17T00:00:00.000Z";"2026-01-01T00:00:00.000Z";"HR8123400091110802807";"HR00 2025-220"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"RI-ING NET d.o.o RIJEKA";"18259544697";"RIJEKA";;"EUR";"1341.38";"R0372 Usluge prometnog redarstva";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4002A400005 Usluge pomoći izvršenja poslova komun. i promet. redarstva";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323530 Zakupnine i najamnine za opremu";"0360 Rashodi za javni red i sigurnost koji nisu drugdje svrstani";"1230-1-1";"MJESEČNO KORIŠTENJEPAZIGRAD I GRADSKO OKO ZA 11/25- ID 246 25/0004181";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR5924020061100631970";"HR00 1230-1-1"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"HRVATSKA POŠTA d.d. ODJEL ODRŽAVANJA";"87311810356";"ZAGREB";;"EUR";"288.65";"R0009 Usluge telefona, pošte i prijevoza";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323131 Poštarina-pref.hrvat.vode";"0133 Ostale opće usluge";"16732-92007-2";"POŠTANSKE USLUGE11/2025 - ID 2480 25/0004650";"2025-11-30T00:00:00.000Z";"2026-01-02T00:00:00.000Z";"HR1623900011100018674";"HR05 020079-025-00021493"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"HRVATSKA POŠTA d.d. ODJEL ODRŽAVANJA";"87311810356";"ZAGREB";;"EUR";"1044.20";"R0009 Usluge telefona, pošte i prijevoza";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323130 Poštarina (pisma, tiskanice i sl.)";"0133 Ostale opće usluge";"16732-92007-2";"POŠTANSKE USLUGE11/2025 - ID 2480 25/0004650";"2025-11-30T00:00:00.000Z";"2026-01-02T00:00:00.000Z";"HR1623900011100018674";"HR05 020079-025-00021493"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"LAMP OBRT ZA DIZAJN vl. TEO JAKONIŠIĆ";"GDPR";"";;"EUR";"1300.00";"R0025 Intelektualne i osobne usluge";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100003 Manifestacije pod pokroviteljstvom Grada Labina";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323790 Ostale intelektualne usluge";"0820 Službe kulture";"25-01-2025";"USLUGA MONTAŽE IDEMONTAŽE RASVJETNE OPREME ZAPOTREBE SVEČA 25/0004635";"2025-12-24T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"LABIN 2000 D.O.O.";"93779491456";"LABIN";;"EUR";"1177.18";"R0010 Usluge tekućeg i investicijskog održavanja";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323221 Usluge tekućeg i investicijskog održavanja - održavanje servera";"0133 Ostale opće usluge";"323/1/1";"ODRŽAVANJE SERVERSKOGSUSTAVA 12/2025 - ID 273125/0004628";"2025-12-12T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"HR2023400091110367599";"HR00 27-323-10"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"1.MAJ LABIN D.O.O. LABIN";"23557321379";"LABIN";;"EUR";"1002.55";"R0350-11 Zimska služba i popravci oštećenja prometnica uslijed vremenskih neprilika";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400012 Održavanje nerazvrstanih cesta";"4.6.001    4. KOMUNALNA NAKNADA";"323290 Ostale usluge tekućeg i investicijskog održavanja";"0451 Cestovni promet";"28204525/K01/105RAF";"KRPANJE UDARNIH RUPA -ID 2667 25/0004484";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR3224020061100387143";"HR01 2045-01294610"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"A NA TAVI, VL. ANA TAVIĆ";"84776810279";"BUZET";;"EUR";"1000.00";"R0432 Intelektualne i osobne usluge";"500       01 UPRAVNI ODJEL ZA DRUŠTVENE DJELATNOSTI";"L01 5004A500002 Labin Art Republika";"6.1.001    6. TEKUĆE DONACIJE";"323790 Ostale intelektualne usluge";"0820 Službe kulture";"13-01-1";"Izrada vizuala,promocijai vođenje kampanje -10.Shpeena Dox 25/0004646";"2025-12-11T00:00:00.000Z";"2025-12-18T00:00:00.000Z";"HR6824020061140379207";"HR00 13-01-1"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"M.R. ITINERIS d.o.o.";"05828899336";"KRŠAN";;"EUR";"1000.00";"R0019-1 Usluge prijevoza";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100002 Redovna djelatnost  ureda gradonačelnika";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323190 Ostale usluge za komunikaciju i prijevoz";"0133 Ostale opće usluge";"318-1-1";"PRIJEVOZ U MANZANOMINICANTANTI 6.12.2025. - ID2700 25/0004642";"2025-12-08T00:00:00.000Z";"2025-12-19T00:00:00.000Z";"HR2623600001102329630";"HR00 318-1-1"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"LAMP OBRT ZA DIZAJN vl. TEO JAKONIŠIĆ";"GDPR";"";;"EUR";"950.00";"R0025 Intelektualne i osobne usluge";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100003 Manifestacije pod pokroviteljstvom Grada Labina";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323790 Ostale intelektualne usluge";"0820 Službe kulture";"26-01-2025";"USLUGA MONTAŽE LEDEEKRANA 3,5MX2M ZA POTREBESVEČANE SJEDNI 25/0004625";"2025-12-24T00:00:00.000Z";"2025-12-31T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"GREEN MEDIA, OBRT";"GDPR";"";;"EUR";"868.50";"R0425 Intelektualne i osobne usluge";"500       01 UPRAVNI ODJEL ZA DRUŠTVENE DJELATNOSTI";"L01 5004A500002 Labin Art Republika";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323790 Ostale intelektualne usluge";"0820 Službe kulture";"18-01-2025";"Usluga ton majstora temontaža i demontaža razlasneopreme - 25/0003501";"2025-08-08T00:00:00.000Z";"2025-09-05T00:00:00.000Z";"";"HR99"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"1.MAJ LABIN D.O.O. LABIN";"23557321379";"LABIN";;"EUR";"782.69";"R0350-29 Redovno održavanje staza, stepenica i ograda na javnim površinama";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400013 Održavanje javnih površina na kojima nije dopušten promet motornim vozilima";"4.6.001    4. KOMUNALNA NAKNADA";"323290 Ostale usluge tekućeg i investicijskog održavanja";"0560 Poslovi i usluge zaštite okoliša koji nisu drugdje svrstani";"28204225/K01/105RAF";"POPRAVAK STEPENICAKRAJ ČAČIĆEVIH STANOVA - ID2670 25/0004593";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR3224020061100387143";"HR01 2042-01294615"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"CAR FLEET MANAGEMENT D.O.O.";"58392172201";"ZAGREB";;"EUR";"771.74";"R0013 Ostale zakupnine i najamnine";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323550 Zakupnine i najamnine za prijevozna sredstva";"0133 Ostale opće usluge";"3431-PJ1-2";"USLUGA NAJMA VOZILALEASING PU2753C ZA 12/2025 - ID2426 25/0004663";"2025-12-01T00:00:00.000Z";"2025-12-11T00:00:00.000Z";"HR6924020061100628298";"HR00 3431"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"RUDAN d.o.o.";"84430586938";"Žminj";;"EUR";"746.56";"R0350-85 Evidencija utroška režija na sportskim terenima i kružnim tokovima";"400       01 UPRAVNI ODJEL ZA KOMUNALNO GOSPODARSTVO I UPRAVLJANJE IMOVINOM";"L01 4001A400020 Održavanje ostale komunalne infrastrukture";"4.6.001    4. KOMUNALNA NAKNADA";"323790 Ostale intelektualne usluge";"0660 Rashodi vezani za stanovanje i kom. pogodnosti koji nisu drugdje svrstani";"20-0226-936-2025";"NAKNADA ZA DALJINSKINADZOR VODOMJERA ZA 11/25 - ID2563 25/0004449";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR8624840081106726800";"HR01 5444-226-9360"
"GRAD LABIN";"2025-12-31T00:00:00.000Z";"LABIN 2000 D.O.O.";"93779491456";"LABIN";;"EUR";"743.89";"R0015 Intelektualne i osobne usluge";"100       01 UPRAVNI ODJEL ZA POSLOVE GRADONAČELNIKA, GRADSKO VIJEĆE I OPĆE POSLOVE";"L01 1001A100001 Redovna djelatnost upravnih odjela";"1.1.001    1.OPĆI PRIHODI I PRIMICI";"323790 Ostale intelektualne usluge";"0133 Ostale opće usluge";"318/1/1";"NAKNADA ZA ZAJED.JAVNU NABAVU EL. ENERGIJE - ID2732 25/0004671";"2025-11-30T00:00:00.000Z";"2025-12-30T00:00:00.000Z";"HR2023400091110367599";"HR00 27-318-10"
